Variable,Residential,Commercial,Notes
Buyer Type,Owner/Landlord/Renter,PM/HOA/Light Commercial,Commercial collapsed for Phase-1
Decision Authority,Medium,High,Commercial usually clearer chain
Budget Owner,Homeowner or Landlord,Property Mgmt or Board,Renters refer but don't buy
Job Size Fit,Medium,Medium-High,Commercial structures/furniture can cluster
Urgency Level,Medium,Medium,Residential seasonal vs commercial event-driven
Seasonality,High,Medium,Commercial hedges rainy-season
Motivation Split,Aesthetic+Safety,Maintenance+Safety,Key difference in messaging
Price Sensitivity,Medium-High,Medium,Value > price for commercial
CAC Justification,Medium,High,Portfolio repeat lowers effective CAC
LTV Potential,Low,High,Commercial multi-site increases LTV
Referral Potential,Medium,Medium-High,Portfolio managers refer internally
Portfolio Potential,Low,High,Commercial can yield multiple properties
Repeat Potential,Low,High,Residential rarely repeats within few years
Surface Types,Deck/Siding/Fence/Furniture,Deck/Siding/Structures/Furniture,Differ by frequency
Proof Requirement,Reviews,Insurance+Reviews+References,Compliance-lite not heavy
Compliance Sensitivity,Low,Medium,Not full RFP compliance at Phase-1
Objection Intensity,Medium,Medium-Low,Commercial objections more operational than price
Objection Types,Cost/DIY/Minimums,Disruption/Scheduling/Insurance,Nature of friction differs
Risk Sensitivity,Safety/Investment,Safety/Liability,Commercial liability > residential
CTA Preference,Estimate,Estimate,(Proposal future)
Procurement Formality,Low,Low-Medium,No RFP at current phase
Scheduling Flexibility,Medium,Medium-Low,Commercial has more constraints
Weather Sensitivity,High,Medium,Commercial uses rainy-season for furniture
Matchback Value,Medium,High,Commercial provides cleaner revenue attribution
Estimator Complexity,Medium,Medium-High,Coordination + residents adds complexity
Crew Complexity,Medium,Medium,Commercial requires access coordination
Qualification Difficulty,Medium,Medium,Residential size filtering vs commercial compliance
Conversion Likelihood,Medium,Medium-High,Commercial conversion higher once in pipeline
Upsell Potential,Medium,Medium-High,Repairs â†’ Refinishing or Furniture
Cross-Sell Surface,Medium,High,Commercial surfaces cluster (furniture+structures+siding)
Retarget Lift,Medium,Medium-High,Commercial responds well to nurture
Minimum Job Sensitivity,High,Medium,"Minimums upset resi more than commercial"
Imagery Requirements,Before/After,Operational + Before/After,Commercial needs less glamour
Estimator Posture,Educational,Operational,Frame differs
Value Wedges,Aesthetics+Enjoyment,Reliability+Safety+Maintenance,Drives messaging
Furniture Opportunity,Moderate (rain filler),High (rain filler),Furniture is anti-seasonality tool
Scaling Trigger,Budget>10K,Budget>10K+Matchback,Scaling logic differs
Phase-2 Split Logic,None,Portfolio vs Single-Site,Future expansion path
