Task Name,List,Assignee,Time Estimate Low (hrs),Time Estimate High (hrs),Priority,Tags,Description
"Kickoff meeting - align on scope, URLs, timeline","Phase 1 - Setup","Brent",0.75,1.5,"High","setup,coordination","Align all team members on scope, URL structure, and timeline"
"Confirm LP URL structure with Web developer","Phase 1 - Setup","Brent",0.75,1.5,"High","setup,web","/residential/deck/, /residential/siding/, etc."
"Confirm Salesforce field mapping with SFDC dev","Phase 1 - Setup","Brent",0.75,2.25,"High","setup,salesforce","Review 03_04_web-php-sfdc-field-contract.md"
"Verify Google Ads conversion tracking","Phase 1 - Setup","Aksha",0.75,1.5,"High","setup,google-ads","Confirm existing tracking works for new campaigns"
"Create Elementor global components","Phase 1 - Web Build","Web",3,6,"High","web,elementor","Hero, form, process, CTA - reusable across all LPs"
"Build estimate request form with hidden UTM fields","Phase 1 - Web Build","Web",1.5,3,"High","web,form","Per 02_17_lp-spec.md"
"Build LP: /residential/deck/","Phase 1 - Web Build","Web",1.5,3,"Normal","web,landing-page","From 02_08_lp-deck-residential.md"
"Build LP: /residential/siding/","Phase 1 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_10_lp-siding-residential.md"
"Build LP: /residential/wood-structures/","Phase 1 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","Structures landing page"
"Build LP: /residential/pressure/","Phase 1 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_12_lp-pressure-residential.md"
"Build LP: /residential/ (catch-all)","Phase 1 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_14_lp-exteriorwood-residential.md"
"Mobile optimization & QA for LPs","Phase 1 - Web Build","Web",1.5,3,"High","web,qa","Lighthouse 80+ target"
"Thank-you page setup","Phase 1 - Web Build","Web",0.75,1.5,"Normal","web,landing-page","Confirmation page after form submission"
"Add/verify custom fields for UTMs","Phase 1 - Salesforce","SFDC",0.75,2.25,"High","salesforce,utm","utm_source__c, utm_campaign__c, etc."
"Add custom fields for surfaces and property type","Phase 1 - Salesforce","SFDC",0.75,1.5,"High","salesforce,fields","Multi-select for surfaces, picklist for property type"
"Configure PHP handler for web-to-lead","Phase 1 - Salesforce","SFDC",1.5,3,"High","salesforce,integration","Map form fields to SFDC fields"
"Test form submission to lead creation","Phase 1 - Salesforce","SFDC",0.75,1.5,"Normal","salesforce,qa","Verify leads are created correctly"
"Verify UTM fields populate correctly","Phase 1 - Salesforce","SFDC",0.75,1.5,"Normal","salesforce,qa","Confirm attribution data flows through"
"Pause/archive old underperforming campaigns","Phase 1 - Google Ads","Aksha",0.5,0.75,"Normal","google-ads,cleanup","Keep for reference"
"Create campaign structure (5 campaigns)","Phase 1 - Google Ads","Aksha",1.5,3,"High","google-ads,campaigns","Bay Area Deck, Siding, Structures, Pressure, Catch-All"
"Create ad groups per campaign","Phase 1 - Google Ads","Aksha",2.25,3.75,"High","google-ads,ad-groups","~15 ad groups total (3-4 per campaign)"
"Add keywords from campaign-master-phase-1.csv","Phase 1 - Google Ads","Aksha",1.5,2.25,"High","google-ads,keywords","47 keywords total"
"Add negative keywords (campaign + ad group level)","Phase 1 - Google Ads","Aksha",1.5,2.25,"High","google-ads,negatives","DIY, retail, composite brands, etc."
"Write RSA ad copy","Phase 1 - Google Ads","Aksha",3,6,"High","google-ads,creative","3 RSAs per ad group minimum"
"Configure geo targeting (Bay Area)","Phase 1 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,targeting","Bay Area zip codes/regions"
"Set initial budgets and bidding strategy","Phase 1 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,budget","Manual CPC recommended initially"
"End-to-end test: Ad → LP → Form → SFDC","Phase 1 - QA & Launch","Brent",1.5,3,"Urgent","qa,testing","Per 03_07_qa-matrix.md"
"Test each surface LP (5 tests)","Phase 1 - QA & Launch","Web",0.75,1.5,"High","qa,testing","Verify lead appears with correct data"
"Fix any issues found","Phase 1 - QA & Launch","Brent",1.5,6,"High","qa,fixes","Buffer for bug fixes"
"Final review and approval","Phase 1 - QA & Launch","Brent",0.75,1.5,"High","qa,approval","Sign-off before go-live"
"Go live Phase 1","Phase 1 - QA & Launch","Aksha",0.5,0.75,"Urgent","launch","Enable campaigns"
"Phase 1 daily monitoring","Phase 1 - Learning Period","Aksha",2,4,"Normal","monitoring,optimization","15 min/day for 2-3 weeks"
"Phase 1 weekly optimization review","Phase 1 - Learning Period","Aksha",1.5,3,"Normal","optimization","Query review, negative additions"
"Phase 1 data checkpoint - Ready for Phase 2?","Phase 1 - Learning Period","Brent",0.75,1.5,"High","decision,milestone","Review data, align on go/no-go"
"Duplicate Bay Area campaigns to Fringe","Phase 2 - Google Ads","Aksha",1.5,3,"High","google-ads,campaigns","4-5 Fringe campaigns"
"Adjust geo targeting for Fringe","Phase 2 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,targeting","Fringe zip codes/regions"
"Update campaign names for Fringe","Phase 2 - Google Ads","Aksha",0.5,0.75,"Normal","google-ads,naming","Clear naming convention"
"Set Fringe-specific budgets","Phase 2 - Google Ads","Aksha",0.5,0.75,"Normal","google-ads,budget","Lower budget initially"
"Review/adjust keywords for Fringe if needed","Phase 2 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,keywords","Any geo-specific adjustments"
"Verify LPs work for Fringe traffic","Phase 2 - Web & SFDC","Web",0.5,0.75,"Normal","web,qa","Same LPs, no new builds needed"
"Add utm_geo tracking field","Phase 2 - Web & SFDC","SFDC",0.75,1.5,"Normal","salesforce,utm","bay_area vs fringe"
"Test Fringe ZIP code submission","Phase 2 - Web & SFDC","SFDC",0.5,0.75,"Normal","salesforce,qa","Verify geo tracking works"
"Test Fringe campaigns → LP → SFDC","Phase 2 - QA & Launch","Brent",0.75,1.5,"High","qa,testing","End-to-end Fringe test"
"Verify geo reporting in SFDC","Phase 2 - QA & Launch","SFDC",0.5,0.75,"Normal","salesforce,reporting","Can filter Bay Area vs Fringe"
"Go live Phase 2 (Fringe campaigns)","Phase 2 - QA & Launch","Aksha",0.5,0.75,"Urgent","launch","Enable Fringe campaigns"
"Phase 2 monitoring for Fringe issues","Phase 2 - Learning Period","Aksha",1.5,3,"Normal","monitoring,optimization","Job size, routing concerns"
"Phase 2 optimization review","Phase 2 - Learning Period","Aksha",1.5,3,"Normal","optimization","Budget allocation between geos"
"Phase 2 data checkpoint - Ready for Phase 3?","Phase 2 - Learning Period","Brent",0.75,1.5,"High","decision,milestone","Review data, align on go/no-go"
"Build LP: /commercial/deck/","Phase 3 - Web Build","Web",1.5,3,"High","web,landing-page","From 02_09_lp-deck-commercial.md"
"Build LP: /commercial/siding/","Phase 3 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_11_lp-siding-commercial.md"
"Build LP: /commercial/wood-structures/","Phase 3 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","Commercial structures LP"
"Build LP: /commercial/pressure/","Phase 3 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_13_lp-pressure-commercial.md"
"Build LP: /commercial/ (catch-all)","Phase 3 - Web Build","Web",1.5,2.25,"Normal","web,landing-page","From 02_15_lp-exteriorwood-commercial.md"
"Update CTA to Request a Proposal on commercial LPs","Phase 3 - Web Build","Web",0.75,1.5,"High","web,cta","Different CTA for commercial"
"Mobile optimization & QA for commercial LPs","Phase 3 - Web Build","Web",1.5,3,"High","web,qa","Lighthouse 80+ target"
"Split Bay Area campaigns by persona","Phase 3 - Google Ads","Aksha",2.25,3.75,"High","google-ads,campaigns","5 → 10 campaigns"
"Split Fringe campaigns by persona","Phase 3 - Google Ads","Aksha",1.5,3,"High","google-ads,campaigns","4 → 8 campaigns"
"Update LP URLs in all campaigns","Phase 3 - Google Ads","Aksha",1.5,2.25,"High","google-ads,urls","Point to correct persona LP"
"Adjust ad copy for commercial tone","Phase 3 - Google Ads","Aksha",2.25,4.5,"High","google-ads,creative","Proposal vs Estimate language"
"Set persona-specific budgets","Phase 3 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,budget","~60% residential, 40% commercial"
"Add commercial-specific keywords if any","Phase 3 - Google Ads","Aksha",0.75,1.5,"Normal","google-ads,keywords","HOA, property management terms"
"Add utm_persona field","Phase 3 - Salesforce","SFDC",0.75,1.5,"High","salesforce,utm","residential vs commercial"
"Verify persona reporting works","Phase 3 - Salesforce","SFDC",0.75,1.5,"Normal","salesforce,reporting","Filter by persona"
"Test commercial form submissions","Phase 3 - Salesforce","SFDC",0.5,0.75,"Normal","salesforce,qa","Verify commercial leads tracked correctly"
"Test all residential campaign → LP paths","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,testing","5 surfaces × 2 geos"
"Test all commercial campaign → LP paths","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,testing","5 surfaces × 2 geos"
"Verify CTA differences (Estimate vs Proposal)","Phase 3 - QA & Launch","Web",0.5,0.75,"Normal","qa,cta","Correct CTA per persona"
"End-to-end SFDC lead tests (6 variations)","Phase 3 - QA & Launch","SFDC",0.75,1.5,"High","qa,testing","Per 03_07_qa-matrix.md"
"Fix any Phase 3 issues","Phase 3 - QA & Launch","Brent",1.5,4.5,"High","qa,fixes","Buffer for bug fixes"
"Final review and approval for Phase 3","Phase 3 - QA & Launch","Brent",0.75,1.5,"High","qa,approval","Sign-off before go-live"
"Go live Phase 3","Phase 3 - QA & Launch","Aksha",0.5,0.75,"Urgent","launch","Enable persona-split campaigns"
"Compare residential vs commercial performance","Phase 3 - Learning Period","Aksha",1.5,3,"Normal","optimization,analysis","Performance comparison"
"Persona-specific optimization","Phase 3 - Learning Period","Aksha",1.5,3,"Normal","optimization","Adjust based on data"
"Consider smart bidding transition","Phase 3 - Learning Period","Brent",0.75,1.5,"Normal","optimization,bidding","If 50+ conversions reached"
"Swap placeholder images with new photography","Ongoing - Assets","Web",1.5,3,"Low","web,assets","When new photos arrive"
