Card Name,List Name,Description,Labels,Members
"Kickoff meeting - align on scope, URLs, timeline","Phase 1 - Setup","Align all team members on scope, URL structure, and timeline. Est: 0.75-1.5 hrs","High Priority,Setup","Brent"
"Confirm LP URL structure with Web developer","Phase 1 - Setup","/residential/deck/, /residential/siding/, etc. Est: 0.75-1.5 hrs","High Priority,Setup,Web","Brent"
"Confirm Salesforce field mapping with SFDC dev","Phase 1 - Setup","Review 03_04_web-php-sfdc-field-contract.md. Est: 0.75-2.25 hrs","High Priority,Setup,Salesforce","Brent"
"Verify Google Ads conversion tracking","Phase 1 - Setup","Confirm existing tracking works for new campaigns. Est: 0.75-1.5 hrs","High Priority,Setup,Google Ads","Aksha"
"Create Elementor global components","Phase 1 - Web Build","Hero, form, process, CTA - reusable across all LPs. Est: 3-6 hrs","High Priority,Web","Web"
"Build estimate request form with hidden UTM fields","Phase 1 - Web Build","Per 02_17_lp-spec.md. Est: 1.5-3 hrs","High Priority,Web,Form","Web"
"Build LP: /residential/deck/","Phase 1 - Web Build","From 02_08_lp-deck-residential.md. Est: 1.5-3 hrs","Web,Landing Page","Web"
"Build LP: /residential/siding/","Phase 1 - Web Build","From 02_10_lp-siding-residential.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /residential/wood-structures/","Phase 1 - Web Build","Structures landing page. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /residential/pressure/","Phase 1 - Web Build","From 02_12_lp-pressure-residential.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /residential/ (catch-all)","Phase 1 - Web Build","From 02_14_lp-exteriorwood-residential.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Mobile optimization & QA for LPs","Phase 1 - Web Build","Lighthouse 80+ target. Est: 1.5-3 hrs","High Priority,Web,QA","Web"
"Thank-you page setup","Phase 1 - Web Build","Confirmation page after form submission. Est: 0.75-1.5 hrs","Web,Landing Page","Web"
"Add/verify custom fields for UTMs","Phase 1 - Salesforce","utm_source__c, utm_campaign__c, etc. Est: 0.75-2.25 hrs","High Priority,Salesforce","SFDC"
"Add custom fields for surfaces and property type","Phase 1 - Salesforce","Multi-select for surfaces, picklist for property type. Est: 0.75-1.5 hrs","High Priority,Salesforce","SFDC"
"Configure PHP handler for web-to-lead","Phase 1 - Salesforce","Map form fields to SFDC fields. Est: 1.5-3 hrs","High Priority,Salesforce","SFDC"
"Test form submission to lead creation","Phase 1 - Salesforce","Verify leads are created correctly. Est: 0.75-1.5 hrs","Salesforce,QA","SFDC"
"Verify UTM fields populate correctly","Phase 1 - Salesforce","Confirm attribution data flows through. Est: 0.75-1.5 hrs","Salesforce,QA","SFDC"
"Pause/archive old underperforming campaigns","Phase 1 - Google Ads","Keep for reference. Est: 0.5-0.75 hrs","Google Ads","Aksha"
"Create campaign structure (5 campaigns)","Phase 1 - Google Ads","Bay Area Deck, Siding, Structures, Pressure, Catch-All. Est: 1.5-3 hrs","High Priority,Google Ads","Aksha"
"Create ad groups per campaign","Phase 1 - Google Ads","~15 ad groups total (3-4 per campaign). Est: 2.25-3.75 hrs","High Priority,Google Ads","Aksha"
"Add keywords from campaign-master-phase-1.csv","Phase 1 - Google Ads","47 keywords total. Est: 1.5-2.25 hrs","High Priority,Google Ads","Aksha"
"Add negative keywords (campaign + ad group level)","Phase 1 - Google Ads","DIY, retail, composite brands, etc. Est: 1.5-2.25 hrs","High Priority,Google Ads","Aksha"
"Write RSA ad copy","Phase 1 - Google Ads","3 RSAs per ad group minimum. Est: 3-6 hrs","High Priority,Google Ads","Aksha"
"Configure geo targeting (Bay Area)","Phase 1 - Google Ads","Bay Area zip codes/regions. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"Set initial budgets and bidding strategy","Phase 1 - Google Ads","Manual CPC recommended initially. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"End-to-end test: Ad → LP → Form → SFDC","Phase 1 - QA & Launch","Per 03_07_qa-matrix.md. Est: 1.5-3 hrs","Urgent,QA","Brent"
"Test each surface LP (5 tests)","Phase 1 - QA & Launch","Verify lead appears with correct data. Est: 0.75-1.5 hrs","High Priority,QA","Web"
"Fix any issues found","Phase 1 - QA & Launch","Buffer for bug fixes. Est: 1.5-6 hrs","High Priority,QA","Brent"
"Final review and approval","Phase 1 - QA & Launch","Sign-off before go-live. Est: 0.75-1.5 hrs","High Priority,QA","Brent"
"Go live Phase 1","Phase 1 - QA & Launch","Enable campaigns. Est: 0.5-0.75 hrs","Urgent,Launch","Aksha"
"Phase 1 daily monitoring","Phase 1 - Learning Period","15 min/day for 2-3 weeks. Est: 2-4 hrs","Monitoring","Aksha"
"Phase 1 weekly optimization review","Phase 1 - Learning Period","Query review, negative additions. Est: 1.5-3 hrs","Optimization","Aksha"
"Phase 1 data checkpoint - Ready for Phase 2?","Phase 1 - Learning Period","Review data, align on go/no-go. Est: 0.75-1.5 hrs","High Priority,Milestone","Brent"
"Duplicate Bay Area campaigns to Fringe","Phase 2 - Google Ads","4-5 Fringe campaigns. Est: 1.5-3 hrs","High Priority,Google Ads","Aksha"
"Adjust geo targeting for Fringe","Phase 2 - Google Ads","Fringe zip codes/regions. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"Update campaign names for Fringe","Phase 2 - Google Ads","Clear naming convention. Est: 0.5-0.75 hrs","Google Ads","Aksha"
"Set Fringe-specific budgets","Phase 2 - Google Ads","Lower budget initially. Est: 0.5-0.75 hrs","Google Ads","Aksha"
"Review/adjust keywords for Fringe if needed","Phase 2 - Google Ads","Any geo-specific adjustments. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"Verify LPs work for Fringe traffic","Phase 2 - Web & SFDC","Same LPs, no new builds needed. Est: 0.5-0.75 hrs","Web,QA","Web"
"Add utm_geo tracking field","Phase 2 - Web & SFDC","bay_area vs fringe. Est: 0.75-1.5 hrs","Salesforce","SFDC"
"Test Fringe ZIP code submission","Phase 2 - Web & SFDC","Verify geo tracking works. Est: 0.5-0.75 hrs","Salesforce,QA","SFDC"
"Test Fringe campaigns → LP → SFDC","Phase 2 - QA & Launch","End-to-end Fringe test. Est: 0.75-1.5 hrs","High Priority,QA","Brent"
"Verify geo reporting in SFDC","Phase 2 - QA & Launch","Can filter Bay Area vs Fringe. Est: 0.5-0.75 hrs","Salesforce","SFDC"
"Go live Phase 2 (Fringe campaigns)","Phase 2 - QA & Launch","Enable Fringe campaigns. Est: 0.5-0.75 hrs","Urgent,Launch","Aksha"
"Phase 2 monitoring for Fringe issues","Phase 2 - Learning Period","Job size, routing concerns. Est: 1.5-3 hrs","Monitoring","Aksha"
"Phase 2 optimization review","Phase 2 - Learning Period","Budget allocation between geos. Est: 1.5-3 hrs","Optimization","Aksha"
"Phase 2 data checkpoint - Ready for Phase 3?","Phase 2 - Learning Period","Review data, align on go/no-go. Est: 0.75-1.5 hrs","High Priority,Milestone","Brent"
"Build LP: /commercial/deck/","Phase 3 - Web Build","From 02_09_lp-deck-commercial.md. Est: 1.5-3 hrs","High Priority,Web,Landing Page","Web"
"Build LP: /commercial/siding/","Phase 3 - Web Build","From 02_11_lp-siding-commercial.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /commercial/wood-structures/","Phase 3 - Web Build","Commercial structures LP. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /commercial/pressure/","Phase 3 - Web Build","From 02_13_lp-pressure-commercial.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Build LP: /commercial/ (catch-all)","Phase 3 - Web Build","From 02_15_lp-exteriorwood-commercial.md. Est: 1.5-2.25 hrs","Web,Landing Page","Web"
"Update CTA to Request a Proposal on commercial LPs","Phase 3 - Web Build","Different CTA for commercial. Est: 0.75-1.5 hrs","High Priority,Web","Web"
"Mobile optimization & QA for commercial LPs","Phase 3 - Web Build","Lighthouse 80+ target. Est: 1.5-3 hrs","High Priority,Web,QA","Web"
"Split Bay Area campaigns by persona","Phase 3 - Google Ads","5 → 10 campaigns. Est: 2.25-3.75 hrs","High Priority,Google Ads","Aksha"
"Split Fringe campaigns by persona","Phase 3 - Google Ads","4 → 8 campaigns. Est: 1.5-3 hrs","High Priority,Google Ads","Aksha"
"Update LP URLs in all campaigns","Phase 3 - Google Ads","Point to correct persona LP. Est: 1.5-2.25 hrs","High Priority,Google Ads","Aksha"
"Adjust ad copy for commercial tone","Phase 3 - Google Ads","Proposal vs Estimate language. Est: 2.25-4.5 hrs","High Priority,Google Ads","Aksha"
"Set persona-specific budgets","Phase 3 - Google Ads","~60% residential, 40% commercial. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"Add commercial-specific keywords if any","Phase 3 - Google Ads","HOA, property management terms. Est: 0.75-1.5 hrs","Google Ads","Aksha"
"Add utm_persona field","Phase 3 - Salesforce","residential vs commercial. Est: 0.75-1.5 hrs","High Priority,Salesforce","SFDC"
"Verify persona reporting works","Phase 3 - Salesforce","Filter by persona. Est: 0.75-1.5 hrs","Salesforce","SFDC"
"Test commercial form submissions","Phase 3 - Salesforce","Verify commercial leads tracked correctly. Est: 0.5-0.75 hrs","Salesforce,QA","SFDC"
"Test all residential campaign → LP paths","Phase 3 - QA & Launch","5 surfaces × 2 geos. Est: 0.75-1.5 hrs","High Priority,QA","Brent"
"Test all commercial campaign → LP paths","Phase 3 - QA & Launch","5 surfaces × 2 geos. Est: 0.75-1.5 hrs","High Priority,QA","Brent"
"Verify CTA differences (Estimate vs Proposal)","Phase 3 - QA & Launch","Correct CTA per persona. Est: 0.5-0.75 hrs","QA","Web"
"End-to-end SFDC lead tests (6 variations)","Phase 3 - QA & Launch","Per 03_07_qa-matrix.md. Est: 0.75-1.5 hrs","High Priority,QA","SFDC"
"Fix any Phase 3 issues","Phase 3 - QA & Launch","Buffer for bug fixes. Est: 1.5-4.5 hrs","High Priority,QA","Brent"
"Final review and approval for Phase 3","Phase 3 - QA & Launch","Sign-off before go-live. Est: 0.75-1.5 hrs","High Priority,QA","Brent"
"Go live Phase 3","Phase 3 - QA & Launch","Enable persona-split campaigns. Est: 0.5-0.75 hrs","Urgent,Launch","Aksha"
"Compare residential vs commercial performance","Phase 3 - Learning Period","Performance comparison. Est: 1.5-3 hrs","Optimization","Aksha"
"Persona-specific optimization","Phase 3 - Learning Period","Adjust based on data. Est: 1.5-3 hrs","Optimization","Aksha"
"Consider smart bidding transition","Phase 3 - Learning Period","If 50+ conversions reached. Est: 0.75-1.5 hrs","Optimization","Brent"
"Swap placeholder images with new photography","Ongoing - Assets","When new photos arrive. Est: 1.5-3 hrs","Web","Web"
